date,open,high,low,close,volume
2003-11-18,6.23,6.48,6.11,6.18,7538631.0
2003-11-19,6.16,6.28,6.15,6.24,964874.0
2003-11-20,6.23,6.35,6.19,6.35,804131.0
2003-11-21,6.36,6.53,6.32,6.32,835147.0
2003-11-24,6.32,6.67,6.32,6.65,676647.0
2003-11-25,6.65,6.73,6.56,6.61,730925.0
2003-11-26,6.61,6.73,6.56,6.62,305579.0
2003-11-27,6.62,6.71,6.57,6.66,341845.0
2003-11-28,6.67,6.86,6.67,6.82,464204.0
2003-12-01,6.82,7.02,6.81,7.0,607153.0
2003-12-02,7.02,7.06,6.97,7.0,496737.0
2003-12-03,7.0,7.69,6.99,7.38,1236349.0
2003-12-04,7.38,7.57,7.33,7.46,805330.0
2003-12-05,7.47,7.55,7.32,7.47,658512.0
2003-12-08,7.47,7.54,7.35,7.36,411006.0
2003-12-09,7.36,7.57,7.36,7.55,531301.0
2003-12-10,7.58,7.74,7.55,7.73,626045.0
2003-12-11,7.76,7.82,7.49,7.6,817167.0
2003-12-12,7.56,7.62,7.48,7.58,365843.0
2003-12-15,7.58,7.59,7.47,7.51,305505.0
2003-12-16,7.5,7.7,7.4,7.67,544100.0
2003-12-17,7.61,7.78,7.55,7.56,487204.0
2003-12-18,7.53,7.78,7.51,7.73,349823.0
2003-12-19,7.77,8.09,7.76,8.0,867253.0
2003-12-22,8.05,8.7,7.97,8.6,952951.0
2003-12-23,8.6,8.74,8.54,8.69,623558.0
2003-12-24,8.69,8.87,8.61,8.86,504271.0
2003-12-25,8.89,9.05,8.71,8.83,594130.0
2003-12-26,8.83,8.87,8.65,8.72,385691.0
2003-12-29,8.68,8.77,8.59,8.62,326233.0
2003-12-30,8.62,9.05,8.62,8.99,699453.0
2003-12-31,9.05,9.07,8.66,8.68,507526.0
2004-01-02,8.71,9.0,8.68,8.83,377097.0
2004-01-05,8.81,9.29,8.74,9.2,820841.0
2004-01-06,9.22,9.26,8.93,9.07,887121.0
2004-01-07,9.07,9.55,8.97,9.26,904525.0
2004-01-08,9.25,9.37,9.11,9.24,430073.0
2004-01-09,9.24,9.35,8.86,8.91,605374.0
2004-01-12,8.88,9.16,8.68,9.13,668291.0
2004-01-13,9.15,9.15,8.79,8.87,459073.0
2004-01-14,8.85,8.92,8.69,8.78,288245.0
2004-01-15,8.77,8.9,8.58,8.61,419546.0
2004-01-16,8.62,8.92,8.62,8.82,413680.0
2004-01-29,8.83,8.95,8.76,8.91,210447.0
2004-01-30,8.91,9.02,8.7,8.74,325955.0
2004-02-02,9.61,9.61,8.9,9.04,998360.0
2004-02-03,9.04,9.24,8.96,9.2,389432.0
2004-02-04,9.21,9.95,9.21,9.8,941188.0
2004-02-05,9.8,9.94,9.66,9.85,413893.0
2004-02-06,9.85,9.86,9.63,9.73,335731.0
2004-02-09,9.76,9.95,9.7,9.77,281809.0
2004-02-10,9.77,9.82,9.48,9.54,349645.0
2004-02-11,9.54,9.6,9.33,9.44,379637.0
2004-02-12,9.55,9.58,8.9,8.92,730261.0
2004-02-13,8.9,9.08,8.85,8.95,371224.0
2004-02-16,8.96,9.14,8.95,9.14,334294.0
2004-02-17,9.17,9.2,8.96,9.0,476909.0
2004-02-18,9.0,9.08,8.91,9.04,279251.0
2004-02-19,9.04,9.21,9.0,9.13,513950.0
2004-02-20,9.13,9.17,9.05,9.1,210383.0
2004-02-23,9.11,9.15,8.72,8.75,354584.0
2004-02-24,8.7,8.85,8.61,8.77,292804.0
2004-02-25,8.77,9.01,8.71,8.77,195747.0
2004-02-26,8.77,8.94,8.64,8.92,258232.0
2004-02-27,8.99,9.07,8.9,8.99,218951.0
2004-03-01,8.98,8.99,8.74,8.89,192911.0
2004-03-02,8.92,9.02,8.79,8.83,186074.0
2004-03-03,8.84,8.95,8.6,8.69,237555.0
2004-03-04,8.66,8.74,8.49,8.57,270469.0
2004-03-05,8.57,8.7,8.49,8.55,171865.0
2004-03-08,8.55,8.61,8.48,8.49,141980.0
2004-03-09,8.51,8.74,8.49,8.59,230948.0
2004-03-10,8.62,9.0,8.62,8.99,483075.0
2004-03-11,8.99,9.07,8.91,8.98,340192.0
2004-03-12,8.98,9.07,8.92,9.0,221388.0
2004-03-15,9.0,9.3,8.98,9.19,412990.0
2004-03-16,9.24,9.42,9.18,9.23,365841.0
2004-03-17,9.25,9.3,9.11,9.23,181745.0
2004-03-18,9.23,9.32,9.11,9.12,238973.0
2004-03-19,9.08,9.3,9.03,9.28,178531.0
2004-03-22,9.26,9.35,9.17,9.2,151768.0
2004-03-23,9.19,9.2,9.01,9.03,153004.0
2004-03-24,9.0,9.1,8.97,9.0,100584.0
2004-03-25,8.98,9.06,8.87,8.92,131415.0
2004-03-26,8.89,8.93,8.81,8.9,107778.0
2004-03-29,8.9,9.07,8.86,9.0,114775.0
2004-03-30,9.0,9.08,8.89,8.9,90089.0
2004-03-31,8.95,9.17,8.9,9.0,180813.0
2004-04-01,9.04,9.28,8.99,9.24,276070.0
2004-04-02,9.26,9.47,9.23,9.36,391449.0
2004-04-05,9.37,9.43,9.16,9.19,221194.0
2004-04-06,9.18,9.27,9.12,9.26,151184.0
2004-04-07,9.28,9.39,9.15,9.15,195474.0
2004-04-08,9.15,9.3,9.14,9.22,230865.0
2004-04-09,9.23,9.29,8.98,9.07,225857.0
2004-04-12,8.99,9.16,8.91,9.0,228467.0
2004-04-13,9.0,9.19,8.96,9.15,222323.0
2004-04-14,9.15,9.46,9.12,9.38,495089.0
2004-04-15,9.4,9.48,9.33,9.38,339164.0
2004-04-16,9.38,9.64,9.37,9.62,571842.0
2004-04-19,9.65,9.68,9.25,9.35,351253.0
2004-04-20,9.3,9.4,9.23,9.33,168686.0
2004-04-21,9.36,9.6,9.31,9.42,260584.0
2004-04-22,9.37,9.51,9.08,9.27,293218.0
2004-04-23,9.17,9.29,9.12,9.15,120825.0
2004-04-26,9.15,9.32,9.13,9.3,128456.0
2004-04-27,9.3,9.42,9.23,9.3,161945.0
2004-04-28,9.28,9.3,9.0,9.13,252230.0
2004-04-29,9.09,9.17,8.84,8.86,330984.0
2004-04-30,8.85,9.07,8.83,8.99,141424.0
2004-05-10,9.08,9.19,8.88,8.98,151798.0
2004-05-11,8.91,8.98,8.66,8.81,191284.0
2004-05-12,8.8,8.96,8.67,8.93,149576.0
2004-05-13,8.93,9.09,8.86,9.0,231231.0
2004-05-14,9.0,9.0,9.0,9.0,0.0
2004-05-17,8.85,8.91,8.68,8.76,222179.0
2004-05-18,8.55,8.71,8.36,8.54,2118596.0
2004-05-19,8.41,8.84,8.41,8.67,633933.0
2004-05-20,8.72,8.92,8.62,8.77,402198.0
2004-05-21,8.75,8.85,8.72,8.8,207789.0
2004-05-24,8.81,8.96,8.8,8.86,235450.0
2004-05-25,8.87,8.9,8.72,8.78,214322.0
2004-05-26,8.75,8.93,8.73,8.91,133204.0
2004-05-27,8.91,9.08,8.82,9.02,331997.0
2004-05-28,9.02,9.03,8.9,8.93,210821.0
2004-05-31,8.93,8.97,8.88,8.95,117532.0
2004-06-01,8.89,9.03,8.85,9.03,164323.0
2004-06-02,9.03,9.05,8.88,8.92,132212.0
2004-06-03,8.9,8.91,8.84,8.86,103674.0
2004-06-04,8.85,8.96,8.81,8.85,104881.0
2004-06-07,8.85,8.85,8.75,8.76,150478.0
2004-06-08,8.75,8.79,8.59,8.66,246672.0
2004-06-09,8.61,8.73,8.6,8.68,173561.0
2004-06-10,8.63,8.71,8.56,8.61,175207.0
2004-06-11,8.67,8.76,8.59,8.65,155414.0
2004-06-14,8.61,8.64,8.46,8.51,223344.0
2004-06-15,8.51,8.69,8.5,8.67,84592.0
2004-06-16,8.69,8.8,8.63,8.73,157925.0
2004-06-17,8.8,8.8,8.53,8.57,137254.0
2004-06-18,8.52,8.6,8.17,8.32,431376.0
2004-06-21,8.28,8.35,8.2,8.31,136713.0
2004-06-22,8.3,8.6,8.23,8.5,242841.0
2004-06-23,8.5,8.54,8.45,8.52,108373.0
2004-06-24,8.52,8.6,8.48,8.5,92499.0
2004-06-25,8.48,8.51,8.3,8.31,130921.0
2004-06-28,8.23,8.42,8.22,8.36,80129.0
2004-06-29,8.37,8.55,8.29,8.54,141528.0
2004-06-30,8.5,8.59,8.42,8.48,121300.0
2004-07-01,8.45,8.76,8.44,8.7,207921.0
2004-07-02,8.66,8.8,8.65,8.77,103454.0
2004-07-05,8.79,8.79,8.65,8.75,58008.0
2004-07-06,8.77,8.9,8.7,8.73,156965.0
2004-07-07,8.7,8.72,8.64,8.69,36960.0
2004-07-08,8.68,8.78,8.64,8.78,39065.0
2004-07-09,8.8,8.91,8.75,8.78,109657.0
2004-07-12,8.76,8.76,8.63,8.65,77521.0
2004-07-13,8.63,8.78,8.61,8.76,78359.0
2004-07-14,8.76,8.89,8.75,8.86,112281.0
2004-07-15,8.88,9.11,8.77,9.07,425621.0
2004-07-16,9.07,9.26,9.06,9.09,418375.0
2004-07-19,9.09,9.33,9.05,9.23,253204.0
2004-07-20,9.23,9.27,9.13,9.18,235248.0
2004-07-21,9.18,9.22,9.09,9.15,100704.0
2004-07-22,9.13,9.17,8.85,8.91,258120.0
2004-07-23,8.9,9.0,8.81,8.98,249926.0
2004-07-26,8.9,9.1,8.87,9.02,100169.0
2004-07-27,9.0,9.09,8.97,8.99,105583.0
2004-07-28,9.15,9.2,8.83,9.04,219826.0
2004-07-29,9.04,9.17,9.0,9.1,157285.0
2004-07-30,9.1,9.11,8.94,8.97,80854.0
2004-08-02,8.95,8.96,8.82,8.83,80214.0
2004-08-03,8.8,8.92,8.7,8.71,169539.0
2004-08-04,8.71,9.35,8.68,9.07,349199.0
2004-08-05,9.04,9.13,8.91,8.93,137576.0
2004-08-06,8.9,9.02,8.87,8.91,67391.0
2004-08-09,8.91,9.05,8.91,9.01,80157.0
2004-08-10,9.02,9.09,8.98,9.06,70546.0
2004-08-11,9.03,9.03,8.92,8.94,97951.0
2004-08-12,8.89,8.99,8.81,8.98,87307.0
2004-08-13,8.93,9.04,8.88,8.96,60559.0
2004-08-16,8.96,9.1,8.87,8.91,168209.0
